Igbo,English
ọzọ,more
na-ekpo ọkụ,hot
nwere,have
n’ụlọ,home
ike,could
mgbe ahụ,then
akụkụ,part
ndị,were
ha,them
na,at
ị,you
ndụ,live
nne,mother
onye,who
ụwa,earth
ma,but
ya,him
ya,her
m,I
nnukwu,large
n’akụkụ,side
bịa,come
ọzọ,other
oku,call
n’ihu,before
ogologo,long
na-ekwu,say
anyị,our
eme,do
atọ,three
ga-,would
ala,land
nye,give
aga,go
ma ọ bụrụ na,are
ndị a,these
ịjụ,ask
ụfọdụ,some
ike,may
ihe,an
njedebe,end
mgbanwe,change
banyere,about
chọrọ,want
otu,same
obere,little
anụmanụ,animal
n’okpuru,under
kemgbe,been
enye,he
eme,act
ọ bụla,every
ụbọchị,day
ugbu a,nan
ya mere,why
akara,line
na,and
